ID,Time[s],0:SPI: MOSI data
1103,0.32298,00
1104,0.322999,00
1105,0.323017,00
1106,0.323036,00
1107,0.323055,00
1108,0.323073,00
1109,0.323092,00
1110,0.32311,00
1111,0.323129,00
1112,0.323148,00
1113,0.323166,00
1114,0.323185,00
1115,0.323203,00
1116,0.323222,00
1117,0.32324,00
1118,0.323259,00
1119,0.323278,00
1120,0.323296,00
1121,0.323315,00
1122,0.323333,00
1123,0.323352,00
1124,0.323371,00
1125,0.323389,00
1126,0.323408,00
1127,0.323426,00
1128,0.323445,00
1129,0.323464,00
1130,0.323482,00
1131,0.323501,00
1132,0.323519,00
1133,0.323538,00
1134,0.323557,00
1135,0.323575,00
1136,0.323594,00
1137,0.323612,00
1138,0.323631,00
1139,0.32365,00
1140,0.323668,00
1141,0.323687,00
1142,0.35562,AF
